x,y,z,c,t
66,118,79,7,7
82,3,137,8,3
119,121,140,6,4
23,12,12,6,3
91,63,140,5,4
111,100,46,8,3
20,74,114,8,5
8,14,90,6,1
48,150,65,4,3
25,130,76,1,0
138,136,3,6,3
31,109,58,8,4
148,136,127,5,6
31,36,14,7,5
82,100,101,7,2
33,125,111,5,3
89,8,122,4,2
115,93,103,3,2
4,133,60,7,5
19,47,1,2,1
9,40,31,2,1
39,55,22,2,1
122,45,53,7,2
132,13,98,5,3
47,108,71,3,1
64,134,54,8,5
106,27,32,1,1
56,56,71,4,1
79,98,9,7,3
5,10,21,10,3
136,113,38,6,3
126,16,30,8,5
143,26,103,4,2
58,81,92,4,2
116,60,109,8,6
123,41,93,6,3
148,62,115,8,5
82,15,55,7,4
135,39,13,5,3
90,54,114,9,9
128,68,120,6,2
108,68,54,6,3
86,72,18,3,2
100,38,142,9,4
134,61,93,5,3
123,150,101,5,4
77,104,59,7,6
50,94,129,8,5
98,51,95,8,2
21,46,66,4,2
77,76,6,7,5
131,85,111,7,6
18,143,112,4,3
41,13,85,6,3
124,66,39,5,2
19,83,64,7,6
129,15,110,7,1
4,94,137,6,4
16,96,43,6,3
125,121,119,5,2
117,145,90,8,9
74,147,25,5,3
131,35,107,3,3
68,57,117,6,6
3,131,47,4,3
56,16,60,6,2
105,103,35,1,1
14,65,17,4,2
110,4,75,7,5
18,145,58,8,6
90,146,23,1,0
99,43,129,4,7
24,51,46,4,1
36,127,32,5,5
44,16,127,6,4
112,57,130,8,3
53,28,72,6,4
78,119,87,8,4
133,112,75,6,4
108,1,15,1,0
65,79,114,2,2
144,42,64,2,2
46,113,104,5,3
115,115,137,7,5
114,63,116,2,1
104,17,53,6,4
93,14,145,8,10
24,80,53,8,8
39,112,145,6,8
72,143,25,6,6
29,119,123,7,4
117,130,120,7,5
127,119,71,2,1
44,114,85,4,4
130,28,142,7,5
127,77,22,8,8
143,33,5,6,4
90,110,60,6,4
141,99,89,3,1
143,108,86,5,2
82,100,46,6,4
113,146,120,8,5
123,69,128,3,3
77,6,31,2,2
150,93,88,6,3
79,102,62,8,5
74,57,61,6,3
149,60,52,5,1
113,107,78,6,5
134,80,42,8,4
82,95,11,5,3
24,94,110,6,3
75,117,69,7,5
109,62,30,4,1
97,107,38,5,2
28,61,29,4,3
44,5,25,5,2
94,9,61,8,6
69,30,58,4,3
6,53,110,2,1
33,62,78,1,1
103,124,13,0,0
149,95,45,8,8
1,109,8,7,6
42,138,13,6,5
128,23,146,4,2
50,108,101,4,1
41,131,138,6,2
115,115,30,8,5
51,150,110,6,2
125,8,64,1,1
110,25,95,3,2
103,134,66,8,3
96,61,35,4,2
43,103,138,4,2
106,24,73,8,2
105,21,107,6,6
78,123,79,6,3
95,70,66,4,2
24,114,84,3,2
84,133,27,3,1
96,17,37,7,2
5,25,25,6,6
95,66,102,4,3
122,57,119,8,5
109,84,124,2,1
56,137,42,5,9
35,112,105,4,2
120,37,47,8,3
110,56,45,5,5
138,19,22,1,0
133,141,144,2,1
94,106,119,7,6
67,98,40,3,3
82,44,117,6,5
78,45,6,8,4
102,60,128,3,2
123,64,84,6,0
77,115,5,2,1
149,23,16,2,2
79,66,108,8,4
74,94,42,4,2
56,74,99,6,2
6,69,150,8,1
53,33,66,6,4
33,36,38,8,4
7,61,73,7,4
46,49,43,0,0
6,61,127,6,5
103,20,112,8,8
142,49,110,5,2
9,42,32,1,1
106,69,70,8,5
1,43,133,6,4
79,19,123,9,6
2,58,33,8,11
8,51,32,5,3
8,29,106,4,1
75,94,78,8,8
143,123,119,6,3
135,27,149,5,5
15,82,142,6,2
137,114,7,4,1
56,9,148,7,6
16,109,53,8,5
70,54,91,7,4
138,43,90,4,5
105,64,102,8,4
74,133,97,4,2
78,110,17,3,1
10,66,79,8,4
125,43,69,5,3
97,128,24,4,3
21,49,42,8,7
75,59,5,8,8
97,104,109,7,4
32,83,19,2,1
5,124,135,6,8
42,77,100,5,1
102,134,90,1,0
71,68,3,7,3
62,40,47,5,5
67,56,31,7,5
59,32,65,5,5
15,8,131,1,1
28,42,2,4,1
126,120,72,7,2
88,34,12,8,5
145,144,69,8,9
28,130,35,9,7
42,63,132,7,6
21,9,25,4,1
13,15,90,8,1
46,135,55,4,2
66,73,126,2,1
112,142,150,8,1
21,41,9,4,2
13,145,93,8,5
113,89,139,9,4
7,127,36,4,1
67,94,113,1,1
31,31,127,4,2
135,135,89,7,1
77,60,10,5,3
31,132,11,6,6
129,133,131,6,3
61,135,26,6,3
140,3,5,8,4
36,135,36,5,1
36,66,32,12,6
115,20,96,6,3
24,133,135,5,4
61,90,148,6,2
55,16,126,7,4
31,80,117,4,3
131,8,105,8,7
39,51,25,6,4
72,4,39,6,3
11,100,14,1,1
84,84,148,8,5
14,32,18,5,2
66,112,130,6,3
103,38,64,2,1
58,84,140,4,4
74,87,103,2,2
80,34,81,6,1
92,106,19,6,2
65,105,127,7,1
39,121,116,6,1
74,94,49,3,2
60,114,63,4,4
95,1,59,7,4
135,75,91,2,1
112,32,27,7,7
145,62,28,8,7
16,1,43,8,4
81,132,124,3,2
89,136,108,5,3
16,146,58,0,0
85,150,74,4,4
34,95,133,2,2
45,70,45,8,5
130,70,102,6,1
24,56,19,4,1
59,84,91,10,8
148,140,111,8,5
74,56,114,4,2
20,115,112,8,1
85,128,60,3,2
78,146,18,2,1
59,100,121,8,9
43,105,63,3,2
1,97,108,8,7
115,44,147,4,2
129,89,121,1,1
75,64,145,8,4
115,65,94,4,4
108,114,90,7,5
143,75,90,4,5
103,118,50,7,3
36,141,111,7,1
28,139,14,7,5
40,7,71,5,3
119,118,18,6,2
8,86,50,2,2
35,139,42,6,6
85,16,78,6,4
116,64,109,5,2
5,50,9,8,3
50,66,133,5,1
18,9,42,4,3
49,68,49,5,2
59,105,125,6,2
42,41,102,0,1
99,83,121,6,5
88,121,67,5,3
103,10,126,6,7
9,6,139,2,2
104,16,17,2,1
14,119,75,5,4
147,114,91,4,3
130,120,28,7,4
88,91,107,1,1
2,33,85,8,8
114,5,87,6,0
64,7,56,8,11
138,129,44,4,1
94,61,103,4,2
66,100,117,7,3
110,83,24,2,2
55,139,60,5,5
51,18,72,5,3
19,78,87,5,2
143,103,144,5,4
59,2,51,6,3
97,148,36,6,5
46,71,128,5,4
7,85,106,8,4
87,145,35,8,6
100,5,70,3,1
106,118,8,6,3
63,110,148,8,2
123,33,47,7,3
30,86,133,6,2
88,16,20,0,0
120,112,125,8,5
99,80,91,4,2
54,6,97,8,8
121,13,45,8,5
124,69,16,3,2
60,84,118,7,7
10,38,117,4,2
42,30,126,4,1
129,6,117,9,4
77,16,2,2,1
59,117,113,7,5
77,87,110,6,2
105,29,94,6,3
109,71,11,1,0
54,102,147,8,3
80,71,100,8,5
83,42,111,7,8
15,94,56,5,2
119,83,83,4,3
14,143,77,5,1
44,72,117,13,5
101,147,100,7,8
45,143,143,3,2
50,118,20,7,2
39,40,71,2,2
129,90,32,5,3
130,15,72,3,3
145,125,17,7,2
100,51,27,6,2
103,111,57,1,1
118,73,76,2,2
77,91,109,7,5
70,78,148,8,11
49,72,37,8,7
105,104,56,4,2
82,131,129,7,9
133,117,136,8,2
75,65,145,7,7
35,125,67,4,2
98,92,63,6,4
150,26,78,6,4
28,81,71,4,1
126,75,139,7,3
90,13,11,5,2
104,36,39,3,1
43,12,145,3,1
92,114,45,6,4
83,101,107,3,2
144,109,134,8,6
47,139,93,8,7
134,3,64,8,5
149,83,55,7,5
39,94,35,7,6
75,33,6,7,3
144,50,120,4,3
80,136,84,3,2
62,54,113,8,5
111,10,83,4,2
13,73,21,6,6
93,127,68,5,3
84,142,56,5,3
101,122,148,6,4
11,49,134,6,3
141,108,136,11,7
17,43,141,3,3
90,147,94,3,2
19,75,4,6,2
47,43,36,5,2
141,139,92,6,3
14,45,27,8,6
111,120,57,6,2
7,115,78,4,2
68,52,123,3,2
126,97,18,3,3
119,12,85,9,6
145,136,84,6,4
89,120,61,5,1
120,111,44,5,6
114,110,74,5,1
50,86,50,7,3
4,9,52,2,2
19,98,84,6,3
56,28,2,8,5
86,25,95,5,4
47,107,131,7,2
116,112,57,2,1
67,135,125,1,1
52,135,127,6,2
71,49,77,6,5
62,10,128,8,4
7,20,63,6,4
120,70,47,8,7
101,71,33,5,3
16,113,98,5,3
103,122,35,3,2
91,127,21,6,1
16,16,99,7,5
116,46,47,4,3
44,150,150,2,1
105,93,103,3,2
8,109,34,8,7
52,117,79,6,8
20,92,14,8,3
146,80,112,3,2
66,1,21,9,3
149,63,85,4,1
126,45,67,6,6
55,31,10,5,5
146,89,94,5,2
81,149,99,6,6
8,98,75,4,7
145,85,105,5,1
43,149,49,5,6
133,146,71,3,2
82,57,100,2,1
39,149,59,0,0
107,27,91,8,3
128,50,102,6,2
21,140,78,4,1
45,47,37,5,2
18,128,149,8,5
9,144,79,7,3
106,115,96,1,0
73,59,145,5,4
113,27,4,11,7
65,73,34,7,6
130,112,113,3,2
15,147,28,5,3
138,116,64,9,8
40,128,44,6,5
128,31,101,5,3
94,124,39,5,5
1,32,5,6,4
118,63,118,8,4
27,76,58,7,8
79,103,127,8,5
75,54,88,5,2
16,144,28,1,0
27,8,21,8,4
16,104,130,7,4
99,44,63,8,6
78,59,40,4,2
13,93,132,8,5
136,30,94,8,4
16,37,39,4,3
124,4,135,6,2
1,138,115,3,2
135,79,110,1,1
138,52,124,2,2
125,135,105,1,1
59,97,37,6,3
81,67,101,4,3
129,139,74,4,1
146,86,106,2,2
90,80,90,5,2
96,130,139,8,2
136,25,26,7,4
20,16,132,5,2
20,55,75,4,1
10,86,18,6,2
72,62,58,1,0
20,2,39,6,7
105,117,149,8,2
40,33,95,3,2
95,34,146,4,3
81,145,30,5,5
84,54,16,6,7
110,76,43,7,4
123,103,134,6,5
139,116,96,8,7
53,51,6,6,2
13,7,133,8,6
90,72,85,2,1
25,81,52,8,1
28,110,87,8,5
46,83,142,0,0
77,36,26,11,11
83,150,71,2,1
9,52,60,6,5
27,35,58,10,6
96,117,103,6,2
47,124,94,2,2
92,74,10,6,6
14,149,19,6,6
55,45,21,4,3
68,149,43,5,6
35,82,31,7,7
56,145,42,8,5
132,121,1,3,1
64,113,62,8,2
6,8,150,8,8
10,48,102,8,8
69,116,44,2,1
20,66,143,6,4
113,40,52,4,0
40,65,46,8,3
123,50,121,8,5
3,42,59,3,2
92,81,150,5,1
116,150,16,8,4
28,127,12,5,4
22,128,19,2,2
121,85,45,6,2
106,101,34,2,2
25,59,148,6,3
66,96,130,4,1
47,117,107,5,2
105,43,90,8,10
13,25,109,6,9
11,53,74,7,7
60,68,64,4,2
110,28,95,6,0
91,32,13,8,5
71,148,62,8,4
78,121,139,3,3
50,106,36,8,7
91,145,27,6,3
108,132,65,3,2
38,100,57,6,1
41,45,97,7,3
116,23,27,9,7
62,110,85,8,4
83,62,131,6,3
108,129,78,4,3
101,16,28,0,0
121,47,52,2,2
146,120,33,4,3
90,31,138,4,4
103,47,21,7,0
132,101,86,5,5
82,61,11,2,1
16,109,87,4,5
58,91,125,3,3
66,72,143,5,2
144,74,90,7,3
46,88,18,8,4
24,103,112,6,5
43,127,67,6,7
17,44,61,6,4
15,111,126,6,7
40,2,63,7,1
29,32,90,6,7
76,62,35,8,8
64,51,90,2,2
118,100,9,1,1
9,38,109,6,7
143,55,9,4,3
91,50,109,7,4
137,41,117,6,3
112,143,93,6,3
118,74,119,2,1
28,105,54,7,5
39,13,15,5,2
48,70,8,4,5
93,136,29,3,3
99,112,89,0,0
29,140,63,1,0
116,92,55,8,8
120,27,111,6,2
76,103,77,8,5
113,96,97,15,6
82,131,43,6,3
76,8,3,5,4
128,131,69,6,3
8,147,22,7,5
59,101,130,8,4
34,140,99,8,6
108,115,37,4,2
92,29,9,7,3
133,94,7,5,1
15,119,27,4,1
124,149,46,5,1
65,69,62,4,3
77,12,128,5,2
108,130,22,8,7
79,119,23,8,8
83,86,108,7,7
93,94,99,1,0
10,84,132,5,2
147,99,78,6,2
128,101,25,3,1
93,24,62,6,2
122,24,114,2,1
150,120,105,8,5
1,125,146,2,2
27,145,51,8,6
60,122,50,9,6
108,47,106,4,5
31,98,141,6,3
135,132,133,6,5
106,64,43,8,8
103,69,139,5,4
23,134,7,5,5
96,143,121,8,6
42,47,65,4,2
138,2,48,6,5
86,5,99,1,1
121,65,97,2,1
85,70,84,5,2
81,24,18,7,4
119,22,125,7,1
61,144,77,2,2
4,79,18,1,0
41,98,6,2,2
79,140,116,8,7
91,108,14,7,4
71,95,91,4,2
30,22,12,4,6
136,105,133,8,2
100,129,11,4,3
81,58,16,5,4
125,145,31,11,9
144,10,2,5,0
5,112,45,6,3
21,28,36,7,4
34,146,127,1,1
101,5,144,8,4
109,16,116,5,4
145,120,91,7,5
137,73,84,6,2
103,80,136,3,2
74,76,61,3,2
17,56,48,0,0
48,49,112,2,1
82,21,68,8,4
17,52,30,7,5
11,25,110,8,4
62,14,77,4,2
38,76,82,1,1
89,19,73,8,4
142,105,96,1,1
32,25,66,4,2
144,33,22,5,3
27,45,62,4,1
64,63,111,4,3
124,4,91,5,2
13,107,26,6,4
93,144,16,8,2
118,10,66,3,2
3,76,45,8,9
64,92,131,3,2
98,45,39,6,2
25,54,93,8,4
26,92,133,4,4
88,119,113,8,3
78,19,116,3,3
41,29,70,9,8
114,137,34,7,6
92,136,62,4,2
38,37,60,5,6
67,25,85,9,5
94,12,5,6,3
4,112,70,6,6
121,27,109,12,5
78,48,131,7,7
35,78,146,7,4
98,149,12,6,4
76,85,27,7,7
19,49,31,6,1
133,67,81,1,0
137,34,92,8,5
20,85,114,7,6
29,103,59,8,7
69,125,133,7,5
48,17,42,4,4
121,9,81,5,2
15,112,130,8,7
79,25,64,7,4
28,6,109,7,1
118,82,89,2,1
61,121,104,6,3
99,10,91,2,1
124,26,72,5,1
8,85,56,6,2
104,148,29,6,4
132,122,78,7,7
138,71,124,8,3
54,105,127,9,8
116,111,75,4,3
97,29,120,5,5
33,99,24,7,1
17,23,72,4,2
126,130,118,6,9
145,119,88,0,0
39,88,44,5,2
69,59,97,11,3
63,125,63,8,5
6,50,131,7,10
76,69,54,6,1
120,100,130,6,3
80,8,12,8,2
92,126,22,8,2
97,134,146,8,3
12,121,107,2,2
53,109,61,9,4
130,39,67,4,3
83,45,69,1,1
30,77,134,2,2
35,75,122,8,3
72,67,149,6,5
129,141,41,12,10
20,85,93,4,2
90,109,144,3,4
2,34,149,2,1
51,55,9,2,1
34,64,80,6,3
81,98,31,7,4
146,68,16,5,4
122,44,40,1,0
131,101,149,6,4
42,119,50,8,4
11,34,148,8,6
129,100,34,8,5
82,5,58,8,8
149,19,136,4,2
11,2,56,1,1
146,113,42,5,5
78,84,105,8,5
102,127,144,6,3
54,98,118,8,7
48,63,67,8,4
44,2,120,4,4
15,15,89,4,1
69,53,90,8,7
60,122,138,1,1
21,45,148,7,3
126,37,51,6,3
42,110,137,7,6
84,109,41,2,1
115,20,140,4,4
56,46,9,4,3
134,102,41,6,3
146,92,112,6,4
13,4,67,7,5
38,87,107,8,11
100,68,111,7,10
40,39,54,8,3
115,125,41,8,7
150,29,59,6,1
136,148,147,8,4
144,69,5,4,3
2,49,110,6,4
93,72,88,6,6
7,4,52,8,8
147,108,44,4,3
85,53,118,8,7
62,128,110,8,5
101,134,146,8,4
69,22,122,7,6
98,129,98,2,0
116,143,18,5,4
144,29,125,1,0
34,118,59,2,1
129,25,109,3,2
55,129,16,5,4
62,123,9,7,7
45,24,111,4,4
68,88,52,2,1
122,24,71,8,5
138,14,120,8,6
57,128,148,3,2
47,70,10,2,1
1,101,69,4,1
45,37,48,4,3
53,84,66,3,3
112,60,146,5,2
148,21,117,2,1
33,108,43,6,2
122,144,142,2,1
94,45,30,4,3
99,34,111,4,3
126,126,71,6,3
17,148,107,2,1
22,30,136,3,2
30,69,68,5,3
63,5,2,4,5
72,86,4,4,2
91,128,42,3,3
40,25,18,8,3
140,104,26,1,1
86,109,51,5,4
58,108,25,4,2
55,101,128,6,1
108,65,149,4,1
86,95,22,5,2
128,25,81,0,1
15,58,18,10,7
146,136,111,1,1
72,52,46,8,2
101,121,58,8,3
6,61,51,5,4
27,138,87,7,8
2,13,5,5,2
128,104,60,8,8
9,34,50,7,3
19,100,54,8,4
16,21,72,8,5
84,120,52,5,2
69,124,120,7,3
83,16,41,3,3
56,37,111,2,1
45,129,94,5,4
58,69,26,4,2
138,6,3,2,3
52,77,71,4,3
21,60,69,5,2
30,67,118,6,3
42,27,78,2,1
112,44,120,4,1
3,57,131,1,1
58,55,80,5,2
73,36,85,7,5
26,82,127,6,2
146,105,16,1,1
79,122,36,8,4
25,62,143,9,4
141,7,108,6,5
2,27,67,6,3
146,100,15,6,4
13,121,147,7,5
147,119,51,2,2
84,56,48,6,5
42,114,10,5,2
9,114,110,6,2
17,88,117,5,3
124,9,138,2,2
70,13,81,3,1
78,90,32,6,8
83,30,111,4,1
22,56,93,5,2
150,34,81,8,5
85,122,113,7,3
23,113,82,9,4
113,21,107,4,2
103,120,133,4,2
19,13,60,7,2
100,110,10,5,1
144,74,148,8,4
91,134,119,6,4
17,149,42,7,4
121,94,45,4,3
66,7,123,8,5
139,139,25,7,6
32,51,81,7,4
92,150,113,6,8
108,128,134,5,2
58,112,9,8,1
69,89,4,3,2
82,77,2,8,1
15,139,49,5,4
104,8,77,4,3
110,26,95,2,2
52,133,43,6,6
140,103,113,6,6
120,47,28,1,1
5,97,6,4,3
104,127,30,5,5
21,64,50,6,4
149,12,58,5,3
37,111,148,6,4
44,24,32,2,1
58,50,45,6,9
3,71,149,8,3
114,29,148,4,4
137,13,98,3,2
20,47,96,3,3
139,68,109,5,2
2,139,143,5,3
69,144,93,6,3
114,12,50,6,4
131,109,28,3,2
50,37,65,1,1
72,132,73,7,2
99,90,86,8,5
97,28,105,8,2
18,130,75,5,5
53,48,142,6,2
60,40,40,5,3
94,19,86,6,5
76,82,111,3,3
116,38,16,8,8
121,23,38,6,5
6,85,51,7,7
99,19,19,2,2
117,130,77,9,5
43,32,9,7,4
109,119,117,5,3
68,60,7,5,3
71,108,95,8,3
95,4,24,6,2
103,46,34,7,7
125,19,41,4,2
129,88,62,4,5
17,15,48,0,0
113,6,133,8,6
116,77,28,3,2
33,92,77,7,3
105,113,10,2,1
33,44,128,5,2
92,113,49,3,3
30,39,22,0,1
149,18,130,6,3
20,60,98,0,0
94,105,49,5,3
2,105,119,8,4
48,25,16,7,5
61,66,101,4,2
63,80,142,2,2
21,28,1,2,2
123,149,77,4,2
32,50,96,6,5
100,78,16,6,7
24,41,35,8,8
26,142,114,4,2
79,104,99,7,3
45,115,116,3,3
143,93,42,8,5
88,134,67,8,8
24,104,101,7,6
101,77,126,5,2
51,59,94,4,1
38,3,44,8,6
37,38,50,6,4
144,14,13,6,6
114,98,30,9,3
39,74,22,7,6
105,32,124,4,5
59,103,141,8,3
110,110,85,4,2
55,127,43,6,6
71,16,49,7,4
61,16,112,2,2
122,70,50,7,10
9,114,36,8,5
130,149,83,1,0
58,38,148,3,1
17,131,59,4,1
96,30,100,5,1
101,90,62,7,3
139,83,65,9,3
109,61,28,0,1
28,103,17,6,6
57,22,3,6,2
108,120,132,2,2
130,112,110,7,9
127,120,150,6,3
47,98,41,4,3
42,27,36,1,0
42,100,129,4,1
92,73,85,9,6
2,22,98,4,3
35,18,125,2,0
19,50,69,3,1
119,121,115,4,0
23,116,120,5,3
100,141,116,6,9
66,103,108,8,3
78,36,85,3,1
88,96,29,5,3
120,83,122,5,4
49,63,20,6,2
57,81,27,3,2
54,118,132,0,0
54,8,135,4,3
1,100,2,4,2
147,23,126,4,3
73,59,88,5,2
26,89,87,4,2
3,144,107,7,3
58,73,103,6,4
52,87,2,8,14
132,83,31,5,3
30,97,121,6,3
28,66,70,6,4
60,68,49,5,4
58,118,149,5,3
21,134,33,3,2
70,48,70,7,1
145,132,72,4,2
134,129,4,6,7
34,94,22,6,4
109,30,135,3,2
147,39,82,6,2
50,48,96,5,2
52,116,54,8,7
99,83,75,8,7
75,59,28,8,8
74,4,61,5,3
123,11,79,6,4
12,144,115,4,2
20,119,135,7,6
132,43,49,5,1
10,92,94,2,2
55,101,16,8,2
119,35,110,1,1
6,75,71,5,3
123,143,1,2,2
85,146,119,4,2
34,143,69,5,5
60,33,81,6,4
110,70,16,7,2
144,146,74,8,6
45,125,32,7,3
119,64,55,2,1
87,101,108,4,3
38,124,37,0,0
105,20,129,7,4
69,16,119,2,1
131,113,85,2,1
56,123,26,6,8
63,90,101,6,2
10,119,74,8,3
49,57,39,2,1
33,51,28,6,4
96,113,51,7,3
104,57,74,3,2
94,48,40,2,1
119,15,124,7,1
110,56,25,8,3
150,65,121,4,4
41,77,136,8,5
141,102,18,2,2
50,47,6,1,1
107,2,143,2,2
134,145,2,6,3
21,5,68,8,5
56,105,32,4,3
126,79,55,7,3
20,71,75,6,3
30,69,48,3,1
80,109,147,4,4
27,34,74,6,4
150,133,103,7,7
28,88,147,5,3
140,137,147,3,2
32,116,116,7,3
8,53,123,5,2
42,79,149,7,5
37,77,85,5,2
11,117,28,11,10
83,28,24,2,0
2,42,46,6,2
11,131,13,4,3
17,3,126,5,3
28,51,33,3,2
46,1,106,2,1
63,73,51,6,5
121,73,3,8,8
97,132,58,4,3
41,115,78,5,4
79,34,18,4,4
76,43,114,3,3
78,142,132,7,5
19,64,15,6,2
51,141,43,7,10
53,25,18,9,7
16,131,108,8,5
11,117,131,4,3
124,18,39,10,10
46,46,131,5,1
3,66,110,7,3
130,46,103,3,0
68,129,140,8,4
34,118,36,6,4
17,131,13,6,2
85,58,58,7,4
75,68,74,7,4
54,44,85,5,2
19,72,79,6,6
147,42,52,7,5
101,104,145,8,7
127,21,135,4,0
84,43,58,1,0
142,55,74,8,8
29,144,45,1,1
47,60,1,7,3
94,124,80,7,3
147,44,56,3,2
115,79,74,7,5
101,122,42,1,1
105,16,97,4,1
38,58,77,2,1
131,82,56,2,2
72,115,51,8,6
69,27,148,4,2
21,8,55,7,9
44,30,135,5,3
82,125,46,5,4
1,55,61,8,3
30,103,147,5,3
31,25,61,8,6
46,33,27,6,4
83,64,21,0,0
22,8,54,8,6
51,50,46,6,2
126,47,45,7,3
150,118,150,5,3
132,125,36,6,3
35,77,142,4,2
40,110,133,3,2
147,68,114,5,5
130,117,150,2,0
115,9,25,3,3
135,94,147,3,2
149,140,116,6,6
2,145,135,7,6
103,96,137,0,0
140,47,146,0,0
96,70,47,3,2
63,110,14,7,3
9,4,64,4,2
30,23,134,6,4
93,95,97,5,3
60,18,114,5,4
11,60,142,8,5
38,53,30,8,5
54,121,117,9,7
144,87,101,8,5
99,6,74,6,3
94,145,15,4,2
36,14,29,4,6
127,86,13,5,5
144,19,2,4,3
104,27,45,5,2
114,14,41,7,7
88,117,100,6,3
9,107,48,3,3
87,66,98,6,4
57,105,94,3,2
28,4,86,3,3
53,132,68,8,3
88,65,149,7,2
49,146,52,4,0
126,67,13,7,5
3,126,73,3,2
150,138,104,6,1
54,78,40,4,2
106,67,62,5,2
70,55,15,7,6
140,37,101,7,6
37,38,98,5,4
127,118,92,7,6
43,100,11,7,2
1,65,87,4,2
29,97,36,2,2
91,78,62,3,4
56,18,86,8,2
30,99,57,9,8
101,145,103,5,2
60,113,111,8,6
69,53,35,4,3
69,100,84,5,2
128,73,62,8,11
69,47,116,6,3
141,40,67,2,1
119,121,54,6,3
36,55,10,2,2
15,139,77,5,2
48,55,148,8,2
50,3,45,7,3
114,20,14,2,2
10,47,78,3,3
118,99,38,8,8
142,144,141,6,1
100,119,2,4,5
141,39,88,5,2
110,46,8,8,7
4,96,13,7,4
135,26,113,8,4
86,77,72,3,3
66,4,123,3,2
107,68,80,1,0
123,40,77,6,4
114,55,138,8,9
33,20,139,0,0
73,142,78,0,0
96,13,2,4,2
140,14,114,3,2
107,133,142,8,5
