x,y,z,c,t
101.85185,89.111115,123.22222,93.22222,-38.22222
127.62963,117.666664,141.66667,123.55556,-29.88889
138.07408,132.55556,146.55556,135.11111,-16.555555
126.77778,115.77778,141.88889,122.666664,-33
90.62963,74.55556,116.888885,80.44444,-48.22222
128.48148,119,142.77777,123.666664,-28.444445
111.62963,101,129.22223,104.666664,-31.88889
134.92592,126.44444,147.22223,131.11111,-25.444445
113.25926,100.77778,130.11111,108.888885,-37.444443
108.77778,96.333336,126.22222,103.77778,-37.333332
107.44444,94.666664,125.77778,101.888885,-38.333332
110.703705,96.22222,129,106.888885,-43.444443
125.96296,115.55556,140.88889,121.44444,-31.222221
126,115.888885,140.66667,121.44444,-30.333334
126.22222,115.111115,142.22223,121.333336,-33.333332
124.55556,112.77778,141,119.888885,-35.333332
3.4074075,1.1111112,6,3.1111112,-6.888889
0.5555556,0,1.2222222,0.44444445,-1.6666666
2.2962964,0.11111111,6.4444447,0.33333334,-6.5555553
2.925926,1.2222222,5.6666665,1.8888888,-5.111111
2.8888888,0.6666667,6.3333335,1.6666666,-6.6666665
3.2592592,0.5555556,8,1.2222222,-8.111111
67.44444,58.77778,79,64.55556,-26
2.5185184,0.22222222,6.111111,1.2222222,-6.888889
18.074074,16,22.555555,15.666667,-6.2222223
23.62963,17.333334,31.666666,21.88889,-18.88889
12.481482,7.6666665,18.88889,10.888889,-14.444445
0.5185185,0,1.5555556,0,-1.5555556
55,47.444443,65.44444,52.11111,-22.666666
0.8518519,0.33333334,1.4444444,0.7777778,-1.5555556
1.1481482,0,3.4444444,0,-3.4444444
2.8148148,0.5555556,6.888889,1,-6.7777777
2.148148,0.11111111,5.6666665,0.6666667,-6.111111
49.814816,41.77778,61.11111,46.555557,-24.11111
2.0370371,0.11111111,5.5555553,0.44444445,-5.7777777
15.518518,9,25.333334,12.222222,-19.555555
1.6666666,0.11111111,4.4444447,0.44444445,-4.6666665
3,1.4444444,5.888889,1.6666666,-4.6666665
1.7777778,0.44444445,3.8888888,1,-4
21.333334,14,30.555555,19.444445,-22
0.6666667,0,2,0,-2
4.296296,1.4444444,8.444445,3,-8.555555
19.074074,10.555555,33.11111,13.555555,-25.555555
3.925926,1.5555556,7.7777777,2.4444444,-7.111111
4.185185,0.8888889,9.444445,2.2222223,-9.888889
0.5185185,0,1.5555556,0,-1.5555556
39.851852,36.22222,48.22222,35.11111,-10.888889
39.703705,36.333336,48.22222,34.555557,-10.111111
53.074074,48.11111,63.77778,47.333332,-14.888889
22.851852,18.222221,31.555555,18.777779,-13.888889
45.74074,41.22222,56.333332,39.666668,-13.555555
43.814816,41.11111,51.88889,38.444443,-8.111111
40.74074,38,48.22222,36,-8.222222
45.037037,39,57.11111,39,-18.11111
47.851852,44.77778,56.333332,42.444443,-9.222222
39.037037,33.555557,49.77778,33.77778,-16.444445
31.703703,27.333334,41,26.777779,-13.111111
55.37037,50.333332,66.88889,48.88889,-15.111111
20.555555,16.11111,28.666666,16.88889,-13.333333
65.703705,59.444443,79.44444,58.22222,-18.777779
29.074074,21.444445,41.555557,24.222221,-22.88889
10.592592,8,15.666667,8.111112,-7.7777777
64.03704,55.77778,80.333336,56,-24.777779
59.48148,54.22222,70.88889,53.333332,-15.777778
26.11111,25.222221,29.555555,23.555555,-2.6666667
8.444445,7,12.222222,6.111111,-4.3333335
56.77778,52,68.22222,50.11111,-14.333333
40.51852,37.77778,47.666668,36.11111,-8.222222
46.296295,45.666668,51.11111,42.11111,-1.8888888
45.88889,39.555557,58.444443,39.666668,-19
65.18519,57.666668,79.77778,58.11111,-22.555555
41.037037,37.444443,49.444443,36.22222,-10.777778
44.592594,40.333336,54,39.444443,-12.777778
62.407406,53.444443,79.111115,54.666668,-26.88889
58.22222,53.444443,69.66667,51.555557,-14.333333
56.703705,52.666668,64.44444,53,-12.111111
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
17,13,24.555555,13.444445,-12
1.1851852,0.22222222,3.2222223,0.11111111,-2.8888888
19.777779,16.333334,26.11111,16.88889,-10.333333
0,0,0,0,0
7.6296296,6.7777777,10.777778,5.3333335,-2.5555556
1.5185186,1,2.8888888,0.6666667,-1.5555556
5.3703704,3.6666667,9,3.4444444,-5.111111
18.925926,14.555555,26.88889,15.333333,-13.111111
20.222221,16,28.777779,15.888889,-12.666667
7.296296,5.3333335,11,5.5555553,-5.888889
14.444445,10.777778,21,11.555555,-11
6.4074073,4.111111,11.444445,3.6666667,-6.888889
0,0,0,0,0
2.9629629,1.1111112,6.4444447,1.3333334,-5.5555553
6.4444447,4.111111,11.444445,3.7777777,-7
0.5555556,0.33333334,1.2222222,0.11111111,-0.6666667
8.333333,5.5555553,14.111111,5.3333335,-8.333333
20.851852,16.88889,28.444445,17.222223,-11.888889
0.7037037,0.5555556,1.2222222,0.33333334,-0.44444445
31.62963,27.222221,39.333336,28.333334,-13.222222
6.259259,3.8888888,11.333333,3.5555556,-7.111111
28.74074,24.555555,35.88889,25.777779,-12.555555
0.7407407,0.33333334,1.7777778,0.11111111,-1.2222222
7.0740743,4.666667,12.222222,4.3333335,-7.2222223
14.407408,9.888889,22.88889,10.444445,-13.555555
1.2222222,0.44444445,2.8888888,0.33333334,-2.3333333
2.1111112,1,4.666667,0.6666667,-3.3333333
63.22222,56.22222,77.77778,55.666668,-21
26.444445,23.444445,33,22.88889,-9
59.37037,52.666668,74.111115,51.333332,-20.11111
40.296295,35.77778,49,36.11111,-13.555555
60.296295,53.333332,75.66667,51.88889,-20.88889
49.48148,44.77778,60.666668,43,-14.111111
41.703705,37.88889,50.666668,36.555557,-11.444445
42.037037,36,52.22222,37.88889,-18.11111
61.592594,55,75.66667,54.11111,-19.777779
60.11111,53.11111,75.111115,52.11111,-21
32.555557,29.222221,39.666668,28.777779,-10
50.407406,45.22222,62.333332,43.666668,-15.555555
40.444443,35.333336,49.666668,36.333336,-15.333333
54.037037,48.88889,66.55556,46.666668,-15.444445
48.51852,44.11111,59.88889,41.555557,-13.222222
59.74074,52.88889,74.77778,51.555557,-20.555555
48.444443,43.77778,59.88889,41.666668,-14
40,34.555557,48,37.444443,-16.333334
50.333332,44.666668,62.22222,44.11111,-17
34.925926,31.444445,42.88889,30.444445,-10.444445
53.703705,47.11111,67.22222,46.77778,-19.777779
47.25926,41.77778,58.555557,41.444443,-16.444445
58.407406,51.333332,72.44444,51.444443,-21.222221
53.666668,47.11111,67.66667,46.22222,-19.666666
49.74074,44.444443,61.666668,43.11111,-15.888889
49.037037,44,60.666668,42.444443,-15.111111
47.703705,42.444443,58.88889,41.77778,-15.777778
51.296295,45.444443,64.333336,44.11111,-17.555555
48.555557,44.11111,59,42.555557,-13.333333
61.407406,53.666668,76.55556,54,-23.222221
23.703703,17.333334,25.444445,28.333334,-19.11111
22.333334,18.333334,21.444445,27.222221,-12
19.62963,17.11111,17.88889,23.88889,-7.5555553
14.555555,10.888889,13.666667,19.11111,-11
14.074074,10.666667,12.444445,19.11111,-10.222222
15,13.333333,11.777778,19.88889,-5
9.222222,6.5555553,7.3333335,13.777778,-8
16.962963,12.333333,16.333334,22.222221,-13.888889
17.148148,13.555555,15.555555,22.333334,-10.777778
6.4074073,6.2222223,6,7,-0.5555556
6.6666665,4.888889,4.666667,10.444445,-5.3333335
15.37037,12.666667,12.444445,21,-8.111111
23.037037,17.11111,22.555555,29.444445,-17.777779
19.592592,15.777778,18.444445,24.555555,-11.444445
8.185185,6.5555553,6.4444447,11.555555,-4.888889
20.25926,15.444445,17.777779,27.555555,-14.444445
15.444445,12.444445,15.222222,18.666668,-9
15.37037,12.444445,13.555555,20.11111,-8.777778
16.037037,14.444445,13.333333,20.333334,-4.7777777
7.7777777,6.2222223,5.5555553,11.555555,-4.6666665
12.518518,9.555555,10.777778,17.222223,-8.888889
15.185185,12.111111,14.888889,18.555555,-9.222222
25.444445,20.11111,25.333334,30.88889,-16
11.851851,9.777778,9.888889,15.888889,-6.2222223
7.3333335,5.3333335,5.4444447,11.222222,-6
13.333333,9.888889,12.111111,18,-10.333333
13.703704,10.666667,12.666667,17.777779,-9.111111
16.074074,13.111111,16.666668,18.444445,-8.888889
14.148149,10.888889,13,18.555555,-9.777778
12.962963,11.555555,9.777778,17.555555,-4.2222223
