x,y,z,cluster,tooltip
504,627,779,3,6
299,232,119,4,5
157,896,896,1,2
746,467,676,1,2
149,678,965,2,1
312,74,21,1,2
681,217,940,1,2
140,66,234,8,8
71,708,890,10,6
286,383,986,1,2
791,4,894,2,1
976,985,706,1,2
478,731,537,1,2
951,76,175,1,2
476,528,367,10,8
708,561,424,4,3
774,822,765,7,10
351,885,67,1,2
164,122,532,3,8
915,931,65,1,2
371,659,594,3,6
491,872,968,1,1
438,686,626,1,2
539,915,908,1,2
469,183,672,8,5
327,394,97,4,4
855,808,775,1,1
399,758,230,6,5
831,82,932,10,6
195,976,972,10,5
522,855,209,1,2
848,640,567,8,6
340,150,631,10,10
570,310,482,1,2
979,683,727,1,2
705,453,288,1,2
352,654,819,1,2
909,636,254,5,4
662,379,256,4,2
887,953,511,1,2
781,301,250,1,2
440,476,307,5,5
32,787,963,4,10
78,641,794,1,2
382,922,37,1,2
186,584,758,1,2
179,296,924,9,6
534,504,917,3,7
441,328,120,1,1
180,430,796,1,1
186,482,563,1,1
338,390,245,10,5
975,976,495,8,4
21,745,619,1,2
623,799,137,10,7
809,205,712,10,3
741,918,130,7,5
342,106,970,1,2
728,34,291,1,2
672,987,631,7,6
331,651,565,1,2
447,805,795,2,2
477,76,260,3,10
176,66,758,3,1
845,151,451,3,3
970,51,538,6,3
118,913,760,1,2
247,808,63,4,4
654,637,932,5,3
640,838,637,1,1
965,347,475,3,10
339,525,415,4,3
898,126,260,5,6
202,701,646,3,3
812,785,510,5,5
399,643,893,1,3
474,218,309,1,2
51,858,610,2,8
301,103,807,5,6
16,330,271,8,6
802,375,175,2,3
729,289,743,3,2
413,476,732,3,1
709,265,744,1,2
921,308,991,1,2
440,732,926,1,2
59,402,698,2,2
204,781,37,8,5
429,572,324,1,2
575,294,835,1,2
727,118,589,1,2
390,276,165,1,2
397,78,863,10,2
494,925,545,5,3
5,166,685,2,8
400,62,154,1,10
364,467,155,2,4
631,376,104,1,2
738,410,485,1,2
956,226,220,1,2
104,723,746,1,5
911,486,362,10,3
384,710,325,6,10
980,422,627,4,5
577,681,466,10,6
638,291,516,10,10
997,164,199,1,2
579,14,502,3,3
632,689,263,2,3
393,376,919,2,3
921,385,804,1,2
714,768,588,1,3
330,592,12,1,2
789,801,611,2,3
826,192,143,1,3
748,729,286,1,2
832,108,769,1,2
968,172,144,1,2
570,884,371,1,2
188,277,181,1,2
304,594,162,3,3
772,574,334,1,2
466,786,278,2,2
894,621,372,10,4
933,163,197,1,2
182,152,936,10,2
630,699,409,10,8
152,3,997,10,10
266,133,170,1,3
145,192,441,1,4
184,935,393,8,6
77,460,987,1,2
496,305,543,1,2
223,998,18,1,2
88,193,90,6,2
551,89,525,1,2
875,40,857,8,6
821,674,754,3,4
391,733,190,1,2
779,522,869,1,5
608,851,986,6,4
587,323,384,5,4
740,902,565,1,2
197,492,868,7,9
929,513,133,1,2
944,295,904,9,3
952,322,432,4,4
85,820,810,1,2
440,259,179,1,2
727,417,341,6,4
253,752,162,1,2
124,524,100,1,3
171,329,359,1,2
641,199,967,10,10
354,102,536,1,2
537,270,371,1,1
824,470,544,6,7
326,773,933,2,5
350,320,543,8,6
560,943,170,1,5
36,788,552,4,6
435,391,542,2,5
563,309,149,1,2
183,169,740,1,2
677,384,77,10,2
559,335,287,1,2
760,962,997,1,2
802,446,953,1,2
864,751,890,1,2
57,77,482,2,6
609,500,308,4,5
171,783,161,2,2
76,90,38,1,2
233,761,674,2,2
217,714,689,6,4
925,81,598,3,3
840,477,253,1,2
980,290,424,8,4
419,866,588,1,2
523,485,212,1,1
872,984,100,5,2
286,719,913,1,2
650,766,413,1,2
605,215,720,1,2
870,636,900,1,2
88,885,783,8,10
201,633,130,1,2
873,190,984,2,3
954,817,487,1,1
44,772,486,10,5
639,311,941,5,3
415,545,701,3,2
307,228,21,1,2
362,826,563,3,7
331,123,816,10,7
722,493,64,1,2
131,902,644,1,3
912,489,261,1,3
590,818,824,7,10
324,451,50,3,8
920,255,466,4,3
792,326,201,10,10
704,975,513,10,6
775,231,504,1,4
330,164,345,2,2
937,443,347,1,2
411,89,792,1,2
222,285,494,10,8
934,130,908,10,5
256,555,407,1,2
485,958,150,1,1
830,74,769,1,3
542,124,53,1,2
777,242,328,1,2
226,626,208,2,2
476,854,839,1,2
964,658,487,1,2
204,313,455,1,2
363,239,690,1,1
499,799,510,4,3
848,612,402,1,4
275,558,574,1,2
311,75,568,6,4
432,43,615,2,2
788,348,590,1,2
130,32,996,1,2
393,37,203,2,3
895,835,172,3,2
181,542,401,2,3
924,679,611,1,2
167,911,355,1,3
207,981,163,2,2
596,373,359,4,3
165,806,565,1,2
36,903,787,1,1
616,505,36,1,2
302,99,383,1,2
172,598,669,1,2
620,782,151,1,2
587,973,762,1,2
125,442,63,1,2
140,95,63,7,6
327,330,764,1,2
380,951,482,1,2
646,641,530,1,2
307,661,6,3,2
551,478,769,1,2
728,341,300,1,2
668,355,589,1,2
183,23,174,2,2
369,455,417,1,2
317,430,364,1,2
726,422,349,1,1
223,582,311,6,8
247,617,261,1,2
458,890,56,2,3
621,72,851,6,3
165,439,206,5,10
133,759,66,1,2
147,475,516,2,2
919,316,571,1,5
371,794,380,3,2
48,836,77,7,10
607,651,764,1,2
449,249,867,1,2
116,374,104,1,2
452,815,319,10,10
629,988,919,1,2
78,343,592,2,4
676,432,623,1,2
792,313,201,1,2
340,659,169,1,2
716,535,753,3,4
21,451,557,1,2
643,861,683,3,2
342,584,304,5,5
503,188,290,1,3
226,507,711,1,6
165,954,249,1,2
435,619,154,3,2
813,185,794,1,2
649,599,190,10,4
354,730,284,4,2
608,771,143,3,2
705,516,56,1,2
564,43,799,6,3
549,83,978,1,2
165,350,388,1,2
46,115,769,1,2
408,241,658,1,1
858,803,794,8,6
277,303,95,3,1
619,571,380,1,2
573,39,76,3,2
823,614,780,8,6
685,291,905,1,3
376,300,993,1,2
71,357,272,8,5
579,716,93,6,6
814,996,723,1,2
153,406,337,1,2
841,932,720,3,2
932,418,364,1,2
502,410,977,3,2
697,18,156,1,2
331,356,631,1,2
218,284,348,7,6
143,574,800,2,4
956,236,166,5,4
820,774,45,1,2
220,842,687,1,2
671,20,305,1,1
874,710,429,3,2
682,887,300,1,1
730,849,573,1,2
272,862,592,1,2
334,63,761,1,2
600,762,376,1,2
68,487,567,1,2
211,493,437,1,2
71,917,114,10,4
279,518,57,1,1
701,638,761,4,2
766,80,707,10,10
512,730,591,5,5
944,202,9,1,2
502,154,781,3,1
523,182,509,1,1
122,125,826,10,6
798,296,88,10,3
597,708,365,1,3
526,534,971,1,2
637,368,902,4,3
899,206,551,1,1
844,725,340,10,6
857,282,725,10,4
114,971,420,1,1
263,456,525,1,1
228,142,393,1,2
240,853,352,1,2
258,805,325,1,2
4,75,563,1,2
713,387,256,1,2
613,401,893,2,2
163,495,757,1,2
506,11,807,1,2
124,21,454,1,2
608,516,459,10,7
785,754,488,1,2
702,36,211,1,2
568,916,608,1,2
397,581,364,1,2
6,14,894,1,2
902,487,140,1,2
201,497,245,1,1
462,591,660,10,3
837,293,907,7,3
544,124,882,1,1
643,850,671,1,1
830,500,504,2,2
133,113,531,3,4
817,331,168,1,3
419,958,568,1,3
823,269,727,4,3
299,72,986,10,4
423,325,860,1,2
579,698,544,2,2
532,132,143,1,2
407,634,497,1,2
955,228,691,2,2
64,299,907,1,1
563,402,922,3,4
848,707,290,1,2
403,79,655,1,1
68,34,937,1,2
479,561,205,1,2
229,139,712,2,2
654,824,141,1,2
714,993,102,1,2
228,701,234,1,2
7,239,662,1,2
231,252,918,1,2
323,631,238,1,2
618,544,28,1,2
10,537,282,1,2
226,347,271,2,2
579,253,338,1,2
544,877,434,10,4
143,599,253,1,1
332,209,252,1,1
455,842,950,7,4
708,626,830,1,2
909,797,630,1,2
233,296,665,2,2
490,135,28,1,2
186,807,687,1,2
116,351,727,1,2
511,384,312,2,1
717,794,246,3,2
206,397,160,1,2
491,905,74,1,2
466,565,205,1,2
870,132,333,1,2
923,34,1,1,2
126,562,311,1,2
345,622,40,1,2
418,158,974,10,5
352,112,574,1,2
460,470,651,1,2
591,590,278,1,6
177,963,652,10,6
70,407,848,4,8
932,423,310,5,3
990,308,274,1,2
468,919,726,1,2
93,8,868,3,4
441,250,928,1,2
236,72,460,1,2
129,955,623,1,2
904,67,130,1,2
927,348,606,1,2
353,568,500,1,2
504,116,10,6,5
952,895,894,5,4
326,429,851,1,2
407,143,873,6,3
805,162,481,1,2
599,495,792,10,6
908,260,68,1,2
906,642,81,9,6
150,636,126,1,2
824,255,327,5,4
611,830,496,6,4
650,824,481,5,3
63,404,710,1,2
454,667,224,3,4
384,178,234,1,2
791,86,672,1,2
563,907,536,1,2
900,823,506,1,2
129,732,92,1,1
902,622,615,1,2
912,274,933,1,1
747,787,327,1,2
544,592,842,8,4
297,304,738,8,5
693,489,866,3,5
921,931,632,2,2
511,668,496,1,2
543,560,792,10,10
888,714,849,1,2
648,992,546,10,3
835,793,503,10,5
300,448,770,10,6
860,440,389,1,2
702,7,125,1,1
389,521,328,1,2
275,86,946,1,2
713,528,255,1,1
801,681,304,1,2
658,691,102,1,2
90,973,619,1,2
315,166,360,3,3
153,81,303,3,2
628,457,542,1,2
422,462,582,2,1
83,794,63,1,3
531,616,126,5,7
431,565,775,1,2
279,930,532,1,2
822,491,169,1,2
671,518,298,1,2
138,774,744,1,2
217,887,872,1,2
704,3,866,4,5
368,132,388,1,2
652,734,904,1,2
71,66,948,8,7
150,360,617,3,2
670,135,107,1,2
961,56,148,3,2
680,667,831,3,2
74,542,107,1,2
833,994,319,1,2
500,46,716,1,2
327,67,272,1,2
184,700,559,1,2
279,303,796,1,2
668,110,300,3,2
773,57,14,10,10
705,203,621,1,2
821,851,930,2,3
703,695,365,3,2
380,458,834,1,2
57,959,390,1,2
29,130,55,1,2
348,274,12,1,2
92,1000,466,1,2
208,771,460,1,8
72,330,798,7,3
928,113,532,1,2
364,969,114,1,2
793,141,253,1,2
663,372,228,1,2
354,646,95,1,2
310,514,803,3,2
351,782,861,1,2
91,402,835,2,2
950,171,542,1,2
576,268,35,1,6
959,533,778,8,5
692,4,895,8,5
712,305,712,2,2
159,857,562,1,2
81,882,969,1,3
52,433,667,1,2
155,487,706,1,2
425,489,542,1,2
875,410,408,1,2
576,354,564,1,2
599,501,713,1,2
536,396,195,10,5
19,427,815,10,4
826,492,918,1,2
131,411,890,1,2
383,863,555,1,2
105,625,22,1,2
446,194,728,1,2
768,798,794,1,2
768,926,1,1,2
282,28,114,1,2
19,233,633,3,2
281,325,867,5,4
238,692,864,1,2
267,629,457,1,2
382,779,910,1,3
506,330,483,1,2
351,954,326,3,7
208,965,651,4,3
939,357,918,5,4
