x,y,z,c,ttip
12.22,13.32,0.8652,B,abc
11.82,13.4,0.8274,B,abc
11.21,13.13,0.8167,B,abc
11.43,13.13,0.8335,B,abc
12.49,13.46,0.8658,B,abc
12.7,13.71,0.8491,B,abc
10.79,12.93,0.8107,B,abc
11.83,13.23,0.8496,B,abc
12.01,13.52,0.8249,B,abc
12.26,13.6,0.8333,B,abc
11.18,13.04,0.8266,B,abc
11.36,13.05,0.8382,B,abc
11.19,13.05,0.8253,C,abc
11.34,12.87,0.8596,C,abc
12.13,13.73,0.8081,C,abc
11.75,13.52,0.8082,C,abc
11.49,13.22,0.8263,C,abc
12.54,13.67,0.8425,C,abc
12.02,13.33,0.8503,C,abc
12.05,13.41,0.8416,C,abc
12.55,13.57,0.8558,C,abc
11.14,12.79,0.8558,C,abc
12.1,13.15,0.8793,C,abc
12.44,13.59,0.8462,C,abc
12.15,13.45,0.8443,C,abc
11.35,13.12,0.8291,C,abc
11.24,13,0.8455,C,abc
11.02,13,0.8355,C,abc
11.55,13.1,0.8455,C,abc
11.27,12.97,0.8419,C,abc
11.4,13.08,0.8375,C,abc
10.83,12.96,0.8099,C,abc
10.8,12.57,0.859,C,abc
11.26,13.01,0.8355,C,abc
10.74,12.73,0.8329,C,abc
11.48,13.05,0.8473,C,abc
12.21,13.47,0.8453,C,abc
11.41,12.95,0.856,C,abc
12.46,13.41,0.8706,C,abc
12.19,13.36,0.8579,C,abc
11.65,13.07,0.8575,C,abc
12.89,13.77,0.8541,C,abc
11.56,13.31,0.8198,C,abc
11.81,13.45,0.8198,C,abc
10.91,12.8,0.8372,C,abc
11.23,12.82,0.8594,C,abc
10.59,12.41,0.8648,C,abc
10.93,12.8,0.839,C,abc
11.27,12.86,0.8563,C,abc
11.87,13.02,0.8795,C,abc
10.82,12.83,0.8256,C,abc
12.11,13.27,0.8639,C,abc
12.8,13.47,0.886,C,abc
12.79,13.53,0.8786,C,abc
13.37,13.78,0.8849,C,abc
12.62,13.67,0.8481,C,abc
12.76,13.38,0.8964,C,abc
12.38,13.44,0.8609,C,abc
12.67,13.32,0.8977,C,abc
11.18,12.72,0.868,C,abc
12.7,13.41,0.8874,C,abc
12.37,13.47,0.8567,C,abc
12.19,13.2,0.8783,C,abc
11.23,12.88,0.8511,C,abc
13.2,13.66,0.8883,C,abc
11.84,13.21,0.8521,C,abc
12.3,13.34,0.8684,C,abc
